> -Z0
29.613056 59.997360
29.613056 59.997082
29.610277 59.997082
29.610277 59.997360
29.609167 59.997360
29.609167 59.997639
29.607500 59.997639
29.607500 59.997917
29.606947 59.997917
29.606947 59.998196
29.604725 59.998196
29.604725 59.998474
29.603611 59.998474
29.603611 59.998749
29.601942 59.998749
29.601942 59.999027
29.600277 59.999027
29.600277 59.999306
29.596945 59.999306
29.596945 59.999584
29.593058 59.999584
29.593058 59.999863
29.591389 59.999863
29.591389 60.000000
29.616388 60.000000
29.616388 59.999863
29.616388 59.999306
29.618610 59.999306
29.618610 59.999027
29.620832 59.999027
29.620832 59.998749
29.623611 59.998749
29.623611 59.998474
29.625278 59.998470
29.625278 59.998196
29.626944 59.998196
29.626944 59.997917
29.628056 59.997917
29.628056 59.997639
29.630278 59.997639
29.630278 59.997360
29.631390 59.997360
29.631390 59.997082
29.636944 59.997082
29.636944 59.996807
29.639166 59.996807
29.639166 59.996529
29.640278 59.996529
29.640278 59.996250
29.641388 59.996250
29.641388 59.995972
29.642500 59.995972
29.642500 59.995693
29.643053 59.995693
29.643053 59.995419
29.646946 59.995415
29.646946 59.995140
29.647497 59.995140
29.647497 59.994862
29.648058 59.994862
29.648058 59.994583
29.648611 59.994583
29.648611 59.994305
29.650278 59.994305
29.650278 59.994026
29.651388 59.994026
29.651388 59.993752
29.651945 59.993752
29.651945 59.993473
29.656389 59.993473
29.656389 59.993195
29.656942 59.993195
29.656942 59.992916
29.657499 59.992916
29.657499 59.992638
29.659164 59.992638
29.659164 59.992363
29.660278 59.992363
29.660278 59.992085
29.661943 59.992085
29.661945 59.991806
29.663055 59.991806
29.663055 59.991528
29.665277 59.991528
29.665277 59.991249
29.666945 59.991249
29.666945 59.990971
29.668612 59.990971
29.668612 59.990696
29.669167 59.990696
29.669167 59.990971
29.673058 59.990971
29.673058 59.990696
29.676390 59.990696
29.676390 59.990417
29.677500 59.990417
29.677500 59.990139
29.678055 59.990139
29.678055 59.989861
29.679167 59.989861
29.679167 59.989582
29.680834 59.989582
29.680834 59.989307
29.683056 59.989307
29.683056 59.989029
29.684725 59.989029
29.684725 59.988750
29.685833 59.988750
29.685833 59.989029
29.688057 59.989029
29.688057 59.989307
29.687500 59.989307
29.687500 59.989861
29.686386 59.989861
29.686386 59.990139
29.686947 59.990139
29.686947 59.990971
29.687500 59.990971
29.687500 59.992085
29.688057 59.992085
29.688057 59.992363
29.688612 59.992363
29.688612 59.992638
29.688057 59.992638
29.688057 59.992916
29.688612 59.992916
29.688612 59.993473
29.689169 59.993473
29.689169 59.993752
29.690277 59.993752
29.690277 59.994026
29.690834 59.994026
29.690834 59.994305
29.691389 59.994305
29.691389 59.994583
